Time/ms	Current/mA	Voltage/V
1383942876763	-215.0	4.075
1383942876870	-215.0	4.075
1383942876984	-280.0	4.058
1383942877101	-280.0	4.058
1383942877213	-280.0	4.058
1383942877323	-280.0	4.058
1383942877429	-280.0	4.058
1383942877578	-280.0	4.058
1383942877686	-280.0	4.058
1383942877843	-280.0	4.058
1383942877950	-333.0	4.003
1383942878055	-333.0	4.003
1383942878215	-333.0	4.003
1383942878372	-333.0	4.003
1383942878479	-333.0	4.003
1383942878585	-333.0	4.003
1383942878700	-333.0	4.003
1383942878807	-333.0	4.003
1383942878946	-309.0	4.026
1383942879051	-309.0	4.026
1383942879160	-309.0	4.026
1383942879267	-309.0	4.026
1383942879372	-309.0	4.026
1383942879505	-309.0	4.026
1383942879624	-309.0	4.026
1383942879729	-309.0	4.026
1383942879834	-309.0	4.026
1383942879941	-309.0	4.026
1383942880046	-309.0	4.02
1383942880267	-309.0	4.02
1383942880373	-309.0	4.02
1383942880479	-309.0	4.02
1383942880636	-309.0	4.02
1383942880742	-309.0	4.02
1383942880847	-309.0	4.02
1383942880967	-299.0	4.028
1383942881072	-299.0	4.028
1383942881177	-299.0	4.028
1383942881288	-299.0	4.028
1383942881393	-299.0	4.028
1383942881559	-299.0	4.028
1383942881665	-299.0	4.028
1383942881770	-299.0	4.028
1383942881876	-299.0	4.028
1383942881982	-302.0	4.024
1383942882087	-302.0	4.024
1383942882201	-302.0	4.024
1383942882306	-302.0	4.024
1383942882412	-302.0	4.024
1383942882577	-302.0	4.024
1383942882683	-302.0	4.024
1383942882788	-302.0	4.024
1383942882959	-295.0	4.022
1383942883065	-295.0	4.022
1383942883170	-295.0	4.022
1383942883294	-295.0	4.022
1383942883400	-295.0	4.022
1383942883506	-295.0	4.022
1383942883667	-295.0	4.022
1383942883773	-295.0	4.022
1383942883880	-295.0	4.022
1383942883986	-301.0	4.017
1383942884102	-301.0	4.017
1383942884208	-301.0	4.017
1383942884314	-301.0	4.017
1383942884427	-301.0	4.017
1383942884532	-301.0	4.017
1383942884664	-301.0	4.017
1383942884769	-301.0	4.017
1383942884898	-301.0	4.017
1383942885004	-305.0	4.021
1383942885114	-305.0	4.021
1383942885261	-305.0	4.021
1383942885396	-305.0	4.021
1383942885501	-305.0	4.021
1383942885608	-305.0	4.021
1383942885819	-305.0	4.021
1383942885926	-305.0	4.021
1383942886078	-329.0	4.015
1383942886185	-329.0	4.015
1383942886290	-329.0	4.015
1383942886411	-329.0	4.015
1383942886517	-329.0	4.015
1383942886626	-329.0	4.015
1383942886734	-329.0	4.015
1383942886840	-329.0	4.015
1383942886959	-305.0	4.012
1383942887065	-305.0	4.012
1383942887171	-305.0	4.012
1383942887276	-305.0	4.012
1383942887436	-305.0	4.012
1383942887541	-305.0	4.012
1383942887647	-305.0	4.012
1383942887751	-305.0	4.012
1383942887856	-305.0	4.012
1383942887960	-302.0	4.011
1383942888065	-302.0	4.011
1383942888171	-302.0	4.011
1383942888276	-302.0	4.011
1383942888382	-302.0	4.011
1383942888508	-302.0	4.011
1383942888613	-302.0	4.011
1383942888719	-302.0	4.011
1383942888824	-302.0	4.011
1383942888931	-302.0	4.011
1383942889036	-298.0	4.014
1383942889162	-298.0	4.014
1383942889269	-298.0	4.014
