Time/ms	Current/mA	Voltage/V
1384018603984	-213.0	4.087
1384018604092	-213.0	4.087
1384018604211	-213.0	4.087
1384018604335	-213.0	4.087
1384018604451	-303.0	4.084
1384018604568	-303.0	4.084
1384018604697	-303.0	4.084
1384018604894	-303.0	4.084
1384018605002	-303.0	4.084
1384018605189	-303.0	4.084
1384018605294	-303.0	4.084
1384018605460	-343.0	4.005
1384018605567	-343.0	4.005
1384018605742	-343.0	4.005
1384018605848	-343.0	4.005
1384018605999	-343.0	4.005
1384018606106	-343.0	4.005
1384018606312	-343.0	4.005
1384018606433	-343.0	4.005
1384018606539	-331.0	4.036
1384018606645	-331.0	4.036
1384018606750	-331.0	4.036
1384018606857	-331.0	4.036
1384018606962	-331.0	4.036
1384018607068	-331.0	4.036
1384018607204	-331.0	4.036
1384018607309	-331.0	4.036
1384018607415	-331.0	4.036
1384018607525	-320.0	4.036
1384018607630	-320.0	4.036
1384018607735	-320.0	4.036
1384018607841	-320.0	4.036
1384018607977	-320.0	4.036
1384018608082	-320.0	4.036
1384018608187	-320.0	4.036
1384018608337	-320.0	4.036
1384018608442	-320.0	4.036
1384018608547	-314.0	4.038
1384018608662	-314.0	4.038
1384018608768	-314.0	4.038
1384018608939	-314.0	4.038
1384018609043	-314.0	4.038
1384018609171	-314.0	4.038
1384018609275	-314.0	4.038
1384018609403	-314.0	4.038
1384018609507	-349.0	4.042
1384018609612	-349.0	4.042
1384018609717	-349.0	4.042
1384018609822	-349.0	4.042
1384018609952	-349.0	4.042
1384018610057	-349.0	4.042
1384018610162	-349.0	4.042
1384018610267	-349.0	4.042
1384018610371	-349.0	4.042
1384018610491	-361.0	4.013
1384018610596	-361.0	4.013
1384018610701	-361.0	4.013
1384018610808	-361.0	4.013
1384018610912	-361.0	4.013
1384018611017	-361.0	4.013
1384018611126	-361.0	4.013
1384018611232	-361.0	4.013
1384018611431	-361.0	4.013
1384018611537	-366.0	4.001
1384018611642	-366.0	4.001
1384018611749	-366.0	4.001
1384018611856	-366.0	4.001
1384018611962	-366.0	4.001
1384018612124	-366.0	4.001
1384018612230	-366.0	4.001
1384018612335	-366.0	4.001
1384018612455	-366.0	4.001
1384018612561	-316.0	4.02
1384018612667	-316.0	4.02
1384018612828	-316.0	4.02
1384018612934	-316.0	4.02
1384018613089	-316.0	4.02
1384018613197	-316.0	4.02
1384018613303	-316.0	4.02
1384018613409	-316.0	4.02
1384018613516	-315.0	4.035
1384018613622	-315.0	4.035
1384018613728	-315.0	4.035
1384018613833	-315.0	4.035
1384018614007	-315.0	4.035
1384018614113	-315.0	4.035
1384018614217	-315.0	4.035
1384018614329	-315.0	4.035
1384018614435	-315.0	4.035
1384018614541	-318.0	4.028
1384018614646	-318.0	4.028
1384018614750	-318.0	4.028
1384018614854	-318.0	4.028
1384018614959	-318.0	4.028
1384018615065	-318.0	4.028
1384018615170	-318.0	4.028
1384018615276	-318.0	4.028
1384018615381	-318.0	4.028
1384018615509	-318.0	4.023
1384018615615	-318.0	4.023
1384018615722	-318.0	4.023
1384018615827	-318.0	4.023
1384018615933	-318.0	4.023
1384018616038	-318.0	4.023
1384018616155	-318.0	4.023
1384018616261	-318.0	4.023
1384018616367	-318.0	4.023
1384018616521	-313.0	4.029
1384018616628	-313.0	4.029
1384018616734	-313.0	4.029
1384018616841	-313.0	4.029
1384018616950	-313.0	4.029
1384018617055	-313.0	4.029
1384018617161	-313.0	4.029
1384018617267	-313.0	4.029
1384018617374	-313.0	4.029
1384018617481	-311.0	4.02
