Time/ms	Current/mA	Voltage/V
1383963017236	-204.0	4.02
1383963017343	-204.0	4.02
1383963017449	-204.0	4.02
1383963017559	-204.0	4.02
1383963017665	-204.0	4.02
1383963017778	-204.0	4.02
1383963017908	-204.0	4.02
1383963018014	-401.0	3.976
1383963018118	-401.0	3.976
1383963018231	-401.0	3.976
1383963018336	-401.0	3.976
1383963018443	-401.0	3.976
1383963018549	-401.0	3.976
1383963018673	-401.0	3.976
1383963018785	-401.0	3.976
1383963018896	-401.0	3.976
1383963019014	-333.0	3.959
1383963019126	-333.0	3.959
1383963019237	-333.0	3.959
1383963019361	-333.0	3.959
1383963019472	-333.0	3.959
1383963019582	-333.0	3.959
1383963019693	-333.0	3.959
1383963019801	-333.0	3.959
1383963019908	-333.0	3.959
1383963020018	-246.0	3.968
1383963020142	-246.0	3.968
1383963020252	-246.0	3.968
1383963020362	-246.0	3.968
1383963020471	-246.0	3.968
1383963020583	-246.0	3.968
1383963020692	-246.0	3.968
1383963020807	-246.0	3.968
1383963020918	-246.0	3.968
1383963021026	-218.0	3.975
1383963021138	-218.0	3.975
1383963021245	-218.0	3.975
1383963021353	-218.0	3.975
1383963021462	-218.0	3.975
1383963021573	-218.0	3.975
1383963021683	-218.0	3.975
1383963021792	-218.0	3.975
1383963021901	-218.0	3.975
1383963022009	-218.0	3.975
1383963022119	-196.0	4.021
1383963022313	-196.0	4.021
1383963022421	-196.0	4.021
1383963022531	-196.0	4.021
1383963022640	-196.0	4.021
1383963022748	-196.0	4.021
1383963022856	-196.0	4.021
1383963022965	-196.0	4.021
1383963023088	-222.0	4.015
1383963023196	-222.0	4.015
1383963023306	-222.0	4.015
1383963023415	-222.0	4.015
1383963023523	-222.0	4.015
1383963023632	-222.0	4.015
1383963023741	-222.0	4.015
1383963023867	-222.0	4.015
1383963023975	-222.0	4.015
1383963024084	-203.0	4.011
1383963024192	-203.0	4.011
1383963024304	-203.0	4.011
1383963024415	-203.0	4.011
1383963024528	-203.0	4.011
1383963024637	-203.0	4.011
1383963024745	-203.0	4.011
1383963024853	-203.0	4.011
1383963024963	-203.0	4.011
1383963025072	-230.0	4.022
1383963025181	-230.0	4.022
1383963025295	-230.0	4.022
1383963025405	-230.0	4.022
1383963025515	-230.0	4.022
1383963025624	-230.0	4.022
1383963025732	-230.0	4.022
1383963025843	-230.0	4.022
1383963025966	-230.0	4.022
1383963026075	-218.0	4.02
1383963026183	-218.0	4.02
1383963026291	-218.0	4.02
1383963026399	-218.0	4.02
1383963026507	-218.0	4.02
1383963026623	-218.0	4.02
1383963026735	-218.0	4.02
1383963026845	-218.0	4.02
1383963026953	-218.0	4.02
1383963027061	-200.0	4.02
1383963027169	-200.0	4.02
1383963027281	-200.0	4.02
1383963027438	-200.0	4.02
1383963027555	-200.0	4.02
1383963027664	-200.0	4.02
1383963027773	-200.0	4.02
1383963027882	-200.0	4.02
1383963027989	-200.0	4.02
1383963028097	-203.0	4.02
1383963028206	-203.0	4.02
1383963028319	-203.0	4.02
1383963028428	-203.0	4.02
1383963028537	-203.0	4.02
1383963028645	-203.0	4.02
1383963028753	-203.0	4.02
1383963028860	-203.0	4.02
1383963028983	-203.0	4.02
1383963029093	-225.0	4.018
1383963029201	-225.0	4.018
1383963029309	-225.0	4.018
1383963029417	-225.0	4.018
1383963029525	-225.0	4.018
1383963029652	-225.0	4.018
1383963029759	-225.0	4.018
1383963029869	-225.0	4.018
1383963029978	-225.0	4.018
1383963030090	-200.0	4.019
1383963030199	-200.0	4.019
1383963030327	-200.0	4.019
1383963030436	-200.0	4.019
1383963030545	-200.0	4.019
1383963030654	-200.0	4.019
1383963030765	-200.0	4.019
1383963030873	-200.0	4.019
1383963030980	-200.0	4.019
1383963031107	-223.0	3.974
1383963031214	-223.0	3.974
1383963031325	-223.0	3.974
1383963031433	-223.0	3.974
1383963031542	-223.0	3.974
1383963031651	-223.0	3.974
1383963031759	-223.0	3.974
1383963031889	-223.0	3.974
1383963031997	-223.0	3.974
1383963032106	-202.0	4.009
1383963032214	-202.0	4.009
1383963032322	-202.0	4.009
1383963032435	-202.0	4.009
1383963032610	-202.0	4.009
1383963032719	-202.0	4.009
1383963032827	-202.0	4.009
1383963032934	-202.0	4.009
1383963033042	-202.0	4.009
1383963033151	-231.0	4.017
1383963033259	-231.0	4.017
1383963033389	-231.0	4.017
1383963033499	-231.0	4.017
1383963033607	-231.0	4.017
1383963033715	-231.0	4.017
1383963033823	-231.0	4.017
1383963033932	-231.0	4.017
1383963034045	-231.0	4.017
1383963034154	-206.0	4.02
1383963034262	-206.0	4.02
1383963034370	-206.0	4.02
1383963034478	-206.0	4.02
1383963034588	-206.0	4.02
1383963034696	-206.0	4.02
1383963034810	-206.0	4.02
1383963034919	-206.0	4.02
1383963035027	-206.0	4.02
1383963035134	-204.0	4.013
1383963035242	-204.0	4.013
1383963035352	-204.0	4.013
1383963035459	-204.0	4.013
1383963035573	-204.0	4.013
1383963035681	-204.0	4.013
1383963035790	-204.0	4.013
1383963035900	-204.0	4.013
1383963036011	-204.0	4.013
1383963036118	-205.0	4.019
1383963036226	-205.0	4.019
1383963036338	-205.0	4.019
1383963036446	-205.0	4.019
1383963036555	-205.0	4.019
1383963036663	-205.0	4.019
1383963036771	-205.0	4.019
1383963036879	-205.0	4.019
1383963036986	-205.0	4.019
1383963037099	-199.0	4.021
1383963037209	-199.0	4.021
1383963037318	-199.0	4.021
1383963037426	-199.0	4.021
1383963037534	-199.0	4.021
1383963037699	-199.0	4.021
1383963037813	-199.0	4.021
1383963037923	-199.0	4.021
1383963038031	-199.0	4.021
1383963038139	-223.0	4.005
1383963038248	-223.0	4.005
1383963038356	-223.0	4.005
1383963038463	-223.0	4.005
1383963038579	-223.0	4.005
1383963038686	-223.0	4.005
1383963038795	-223.0	4.005
1383963038906	-223.0	4.005
1383963039014	-223.0	4.005
1383963039122	-202.0	4.015
1383963039230	-202.0	4.015
1383963039343	-202.0	4.015
1383963039453	-202.0	4.015
1383963039561	-202.0	4.015
1383963039670	-202.0	4.015
1383963039782	-202.0	4.015
1383963039891	-202.0	4.015
1383963039998	-202.0	4.015
1383963040111	-215.0	4.021
1383963040219	-215.0	4.021
1383963040328	-215.0	4.021
1383963040436	-215.0	4.021
1383963040544	-215.0	4.021
1383963040655	-215.0	4.021
1383963040764	-215.0	4.021
1383963040877	-215.0	4.021
1383963040986	-215.0	4.021
1383963041095	-215.0	4.021
1383963041202	-202.0	4.005
1383963041311	-202.0	4.005
1383963041419	-202.0	4.005
1383963041541	-202.0	4.005
1383963041655	-202.0	4.005
1383963041765	-202.0	4.005
1383963041873	-202.0	4.005
1383963041981	-202.0	4.005
1383963042088	-202.0	4.005
1383963042197	-224.0	4.016
1383963042310	-224.0	4.016
1383963042419	-224.0	4.016
1383963042527	-224.0	4.016
1383963042636	-224.0	4.016
1383963042795	-224.0	4.016
1383963042904	-224.0	4.016
1383963043012	-224.0	4.016
1383963043139	-203.0	4.016
1383963043247	-203.0	4.016
1383963043357	-203.0	4.016
1383963043466	-203.0	4.016
1383963043574	-203.0	4.016
1383963043682	-203.0	4.016
1383963043790	-203.0	4.016
1383963043923	-203.0	4.016
1383963044031	-203.0	4.016
1383963044139	-202.0	4.005
1383963044248	-202.0	4.005
1383963044356	-202.0	4.005
1383963044464	-202.0	4.005
1383963044572	-202.0	4.005
1383963044696	-202.0	4.005
1383963044806	-202.0	4.005
1383963044919	-202.0	4.005
1383963045032	-202.0	4.005
1383963045143	-228.0	4.019
1383963045252	-228.0	4.019
1383963045366	-228.0	4.019
1383963045480	-228.0	4.019
1383963045588	-228.0	4.019
1383963045695	-228.0	4.019
1383963045807	-228.0	4.019
1383963045920	-228.0	4.019
1383963046050	-228.0	4.019
1383963046164	-284.0	3.984
1383963046292	-284.0	3.984
1383963046407	-284.0	3.984
1383963046517	-284.0	3.984
1383963046624	-284.0	3.984
1383963046733	-284.0	3.984
1383963046842	-284.0	3.984
1383963046964	-284.0	3.984
1383963047073	-284.0	3.984
1383963047182	-236.0	3.978
1383963047290	-236.0	3.978
1383963047400	-236.0	3.978
1383963047507	-236.0	3.978
1383963047615	-236.0	3.978
1383963047728	-236.0	3.978
1383963047881	-236.0	3.978
1383963047989	-236.0	3.978
1383963048097	-236.0	3.978
1383963048205	-201.0	4.016
1383963048314	-201.0	4.016
1383963048422	-201.0	4.016
1383963048535	-201.0	4.016
1383963048643	-201.0	4.016
1383963048752	-201.0	4.016
1383963048862	-201.0	4.016
1383963048969	-201.0	4.016
1383963049078	-201.0	4.016
1383963049186	-200.0	4.013
1383963049311	-200.0	4.013
1383963049420	-200.0	4.013
1383963049528	-200.0	4.013
1383963049636	-200.0	4.013
1383963049744	-200.0	4.013
1383963049852	-200.0	4.013
1383963049978	-200.0	4.013
1383963050088	-200.0	4.013
1383963050196	-220.0	4.015
1383963050304	-220.0	4.015
1383963050413	-220.0	4.015
1383963050521	-220.0	4.015
1383963050628	-220.0	4.015
1383963050744	-220.0	4.015
1383963050852	-220.0	4.015
1383963050961	-220.0	4.015
1383963051069	-220.0	4.015
1383963051176	-201.0	4.012
1383963051284	-201.0	4.012
1383963051405	-201.0	4.012
1383963051514	-201.0	4.012
1383963051623	-201.0	4.012
1383963051731	-201.0	4.012
1383963051839	-201.0	4.012
1383963051947	-201.0	4.012
1383963052054	-201.0	4.012
1383963052179	-223.0	4.014
1383963052288	-223.0	4.014
1383963052396	-223.0	4.014
1383963052505	-223.0	4.014
1383963052612	-223.0	4.014
1383963052721	-223.0	4.014
1383963052829	-223.0	4.014
1383963052999	-223.0	4.014
1383963053107	-223.0	4.014
1383963053215	-206.0	3.999
1383963053323	-206.0	3.999
1383963053431	-206.0	3.999
1383963053542	-206.0	3.999
1383963053655	-206.0	3.999
1383963053765	-206.0	3.999
1383963053873	-206.0	3.999
1383963053982	-206.0	3.999
1383963054089	-206.0	3.999
1383963054199	-215.0	4.019
1383963054307	-215.0	4.019
1383963054436	-215.0	4.019
1383963054545	-215.0	4.019
1383963054654	-215.0	4.019
1383963054763	-215.0	4.019
1383963054871	-215.0	4.019
1383963054987	-215.0	4.019
1383963055115	-215.0	4.019
1383963055228	-213.0	4.022
1383963055336	-213.0	4.022
1383963055444	-213.0	4.022
1383963055551	-213.0	4.022
1383963055658	-213.0	4.022
1383963055766	-213.0	4.022
1383963055897	-213.0	4.022
1383963056005	-213.0	4.022
1383963056114	-213.0	4.022
1383963056223	-206.0	4.001
1383963056330	-206.0	4.001
1383963056438	-206.0	4.001
1383963056546	-206.0	4.001
1383963056659	-206.0	4.001
1383963056768	-206.0	4.001
1383963056876	-206.0	4.001
1383963056985	-206.0	4.001
1383963057093	-206.0	4.001
1383963057200	-209.0	4.021
1383963057325	-209.0	4.021
1383963057434	-209.0	4.021
1383963057542	-209.0	4.021
1383963057649	-209.0	4.021
1383963057758	-209.0	4.021
1383963057867	-209.0	4.021
1383963057975	-209.0	4.021
1383963058145	-209.0	4.021
1383963058257	-208.0	3.997
1383963058367	-208.0	3.997
1383963058475	-208.0	3.997
1383963058590	-208.0	3.997
1383963058698	-208.0	3.997
1383963058816	-208.0	3.997
1383963058927	-208.0	3.997
1383963059037	-208.0	3.997
1383963059145	-208.0	3.997
1383963059269	-287.0	3.996
1383963059377	-287.0	3.996
1383963059486	-287.0	3.996
1383963059594	-287.0	3.996
1383963059747	-287.0	3.996
1383963059856	-287.0	3.996
1383963059965	-287.0	3.996
1383963060073	-287.0	3.996
1383963060182	-286.0	3.973
1383963060334	-286.0	3.973
1383963060451	-286.0	3.973
1383963060560	-286.0	3.973
1383963060668	-286.0	3.973
1383963060776	-286.0	3.973
1383963060911	-286.0	3.973
1383963061019	-286.0	3.973
1383963061127	-286.0	3.973
1383963061235	-250.0	4.011
1383963061342	-250.0	4.011
1383963061451	-250.0	4.011
1383963061559	-250.0	4.011
1383963061681	-250.0	4.011
1383963061790	-250.0	4.011
1383963061898	-250.0	4.011
1383963062007	-250.0	4.011
1383963062114	-250.0	4.011
1383963062222	-201.0	4.011
1383963062333	-201.0	4.011
1383963062460	-201.0	4.011
1383963062570	-201.0	4.011
1383963062677	-201.0	4.011
1383963062786	-201.0	4.011
1383963062894	-201.0	4.011
1383963063001	-201.0	4.011
1383963063110	-201.0	4.011
1383963063288	-196.0	4.012
1383963063396	-196.0	4.012
1383963063506	-196.0	4.012
1383963063614	-196.0	4.012
1383963063722	-196.0	4.012
1383963063830	-196.0	4.012
1383963063938	-196.0	4.012
1383963064070	-196.0	4.012
1383963064178	-196.0	4.008
1383963064286	-214.0	4.008
1383963064394	-214.0	4.008
1383963064502	-214.0	4.008
1383963064609	-214.0	4.008
1383963064717	-214.0	4.008
1383963064832	-214.0	4.008
1383963064940	-214.0	4.008
1383963065048	-214.0	4.008
1383963065156	-214.0	4.008
1383963065264	-211.0	3.982
1383963065372	-211.0	3.982
1383963065480	-211.0	3.982
1383963065592	-211.0	3.982
1383963065702	-211.0	3.982
1383963065810	-211.0	3.982
1383963065919	-211.0	3.982
1383963066031	-211.0	3.982
1383963066139	-211.0	3.982
1383963066253	-236.0	4.011
1383963066361	-236.0	4.011
1383963066469	-236.0	4.011
1383963066577	-236.0	4.011
1383963066684	-236.0	4.011
1383963066795	-236.0	4.011
1383963066909	-236.0	4.011
1383963067020	-236.0	4.011
1383963067133	-236.0	4.011
1383963067246	-223.0	4.005
1383963067355	-223.0	4.005
1383963067482	-223.0	4.005
1383963067593	-223.0	4.005
1383963067707	-223.0	4.005
1383963067817	-223.0	4.005
1383963067925	-223.0	4.005
1383963068053	-223.0	4.005
1383963068161	-223.0	4.005
1383963068319	-249.0	3.984
1383963068433	-249.0	3.984
1383963068541	-249.0	3.984
1383963068665	-249.0	3.984
1383963068777	-249.0	3.984
1383963068885	-249.0	3.984
1383963068993	-249.0	3.984
1383963069101	-249.0	3.984
1383963069209	-251.0	3.999
1383963069317	-251.0	3.999
1383963069440	-251.0	3.999
1383963069548	-251.0	3.999
1383963069656	-251.0	3.999
1383963069764	-251.0	3.999
1383963069872	-251.0	3.999
1383963069979	-251.0	3.999
1383963070102	-251.0	3.999
1383963070211	-226.0	3.988
1383963070325	-226.0	3.988
1383963070445	-226.0	3.988
1383963070556	-226.0	3.988
1383963070680	-226.0	3.988
1383963070789	-226.0	3.988
1383963070898	-226.0	3.988
1383963071005	-226.0	3.988
1383963071113	-226.0	3.988
1383963071221	-229.0	4.015
1383963071331	-229.0	4.015
1383963071456	-229.0	4.015
1383963071565	-229.0	4.015
1383963071672	-229.0	4.015
1383963071782	-229.0	4.015
1383963071891	-229.0	4.015
1383963071999	-229.0	4.015
1383963072108	-229.0	4.015
1383963072239	-209.0	4.013
1383963072347	-209.0	4.013
1383963072455	-209.0	4.013
1383963072564	-209.0	4.013
1383963072673	-209.0	4.013
1383963072781	-209.0	4.013
1383963072905	-209.0	4.013
1383963073017	-209.0	4.013
1383963073125	-209.0	4.013
1383963073234	-237.0	3.97
1383963073394	-237.0	3.97
1383963073502	-237.0	3.97
1383963073625	-237.0	3.97
1383963073733	-237.0	3.97
1383963073841	-237.0	3.97
1383963073949	-237.0	3.97
1383963074056	-237.0	3.97
1383963074164	-237.0	3.97
1383963074272	-210.0	3.982
1383963074396	-210.0	3.982
1383963074504	-210.0	3.982
1383963074612	-210.0	3.982
1383963074722	-210.0	3.982
1383963074830	-210.0	3.982
1383963074939	-210.0	3.982
1383963075062	-210.0	3.982
1383963075170	-210.0	3.982
1383963075281	-216.0	4.013
1383963075390	-216.0	4.013
1383963075500	-216.0	4.013
1383963075608	-216.0	4.013
1383963075732	-216.0	4.013
1383963075843	-216.0	4.013
1383963075955	-216.0	4.013
1383963076064	-216.0	4.013
1383963076172	-216.0	4.013
1383963076281	-218.0	4.006
1383963076389	-218.0	4.006
1383963076518	-218.0	4.006
1383963076627	-218.0	4.006
1383963076739	-218.0	4.006
1383963076847	-218.0	4.006
1383963076956	-218.0	4.006
1383963077064	-218.0	4.006
1383963077173	-218.0	4.006
1383963077300	-205.0	4.009
1383963077411	-205.0	4.009
1383963077521	-205.0	4.009
1383963077630	-205.0	4.009
1383963077742	-205.0	4.009
1383963077850	-205.0	4.009
1383963077977	-205.0	4.009
1383963078085	-205.0	4.009
1383963078195	-205.0	4.009
1383963078303	-237.0	4.008
1383963078465	-237.0	4.008
1383963078574	-237.0	4.008
1383963078682	-237.0	4.008
1383963078795	-237.0	4.008
1383963078903	-237.0	4.008
1383963079011	-237.0	4.008
1383963079122	-237.0	4.008
1383963079230	-202.0	4.014
1383963079339	-202.0	4.014
1383963079503	-202.0	4.014
1383963079611	-202.0	4.014
1383963079720	-202.0	4.014
1383963079828	-202.0	4.014
1383963079936	-202.0	4.014
1383963080044	-202.0	4.014
1383963080151	-202.0	4.014
1383963080274	-220.0	4.017
1383963080385	-220.0	4.017
1383963080493	-220.0	4.017
1383963080602	-220.0	4.017
1383963080710	-220.0	4.017
1383963080818	-220.0	4.017
1383963080926	-220.0	4.017
1383963081039	-220.0	4.017
1383963081148	-220.0	4.017
1383963081257	-204.0	3.999
1383963081365	-204.0	3.999
1383963081473	-204.0	3.999
1383963081582	-204.0	3.999
1383963081689	-204.0	3.999
1383963081803	-204.0	3.999
1383963081911	-204.0	3.999
1383963082020	-204.0	3.999
1383963082128	-204.0	3.999
1383963082236	-202.0	4.01
1383963082344	-202.0	4.01
1383963082452	-202.0	4.01
1383963082565	-202.0	4.01
1383963082674	-202.0	4.01
1383963082783	-202.0	4.01
1383963082890	-202.0	4.01
1383963082998	-202.0	4.01
1383963083106	-202.0	4.01
1383963083214	-202.0	4.01
1383963083328	-204.0	4.013
1383963083437	-204.0	4.013
1383963083590	-204.0	4.013
