Time/ms	Current/mA	Voltage/V
1384134638801	-210.0	4.086
1384134638907	-249.0	4.082
1384134639016	-249.0	4.082
1384134639130	-249.0	4.082
1384134639244	-249.0	4.082
1384134639403	-249.0	4.082
1384134639516	-249.0	4.082
1384134639622	-249.0	4.082
1384134639728	-249.0	4.082
1384134639842	-249.0	4.082
1384134639955	-363.0	4.017
1384134640084	-363.0	4.017
1384134640192	-363.0	4.017
1384134640301	-363.0	4.017
1384134640410	-363.0	4.017
1384134640529	-363.0	4.017
1384134640640	-363.0	4.017
1384134640745	-363.0	4.017
1384134640853	-363.0	4.017
1384134640963	-333.0	4.015
1384134641078	-333.0	4.015
1384134641186	-333.0	4.015
1384134641296	-333.0	4.015
1384134641405	-333.0	4.015
1384134641515	-333.0	4.015
1384134641624	-333.0	4.015
1384134641752	-333.0	4.015
1384134641860	-333.0	4.015
1384134641969	-241.0	4.051
1384134642079	-241.0	4.051
1384134642189	-241.0	4.051
1384134642298	-241.0	4.051
1384134642409	-241.0	4.051
1384134642519	-241.0	4.051
1384134642631	-241.0	4.051
1384134642740	-241.0	4.051
1384134642848	-241.0	4.051
1384134642961	-200.0	4.089
1384134643071	-200.0	4.089
1384134643182	-200.0	4.089
1384134643291	-200.0	4.089
1384134643405	-200.0	4.089
1384134643516	-200.0	4.089
1384134643626	-200.0	4.089
1384134643741	-200.0	4.089
1384134643850	-200.0	4.089
1384134643958	-217.0	4.081
1384134644070	-217.0	4.081
1384134644179	-217.0	4.081
1384134644288	-217.0	4.081
1384134644397	-217.0	4.081
1384134644552	-217.0	4.081
1384134644661	-217.0	4.081
1384134644769	-217.0	4.081
1384134644884	-217.0	4.081
1384134644993	-211.0	4.067
1384134645102	-211.0	4.067
1384134645210	-211.0	4.067
1384134645319	-211.0	4.067
1384134645427	-211.0	4.067
1384134645535	-211.0	4.067
1384134645659	-211.0	4.067
1384134645768	-211.0	4.067
1384134645876	-211.0	4.067
1384134645984	-215.0	4.076
1384134646092	-215.0	4.076
1384134646200	-215.0	4.076
1384134646324	-215.0	4.076
1384134646432	-215.0	4.076
1384134646543	-215.0	4.076
1384134646651	-215.0	4.076
1384134646760	-215.0	4.076
1384134646868	-215.0	4.076
1384134646976	-222.0	4.047
1384134647103	-222.0	4.047
1384134647211	-222.0	4.047
1384134647320	-222.0	4.047
1384134647428	-222.0	4.047
1384134647535	-222.0	4.047
1384134647644	-222.0	4.047
